date,site,parameter,value,units
2020-08-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0437,mg/L
2020-07-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0321,mg/L
2020-06-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0553,mg/L
2020-03-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0274,mg/L
2020-02-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0494,mg/L
2020-01-22,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0359,mg/L
2019-12-18,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0246,mg/L
2019-11-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0272,mg/L
2019-10-16,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.11,mg/L
2019-09-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.036,mg/L
2019-08-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0447,mg/L
2019-07-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.08,mg/L
2019-06-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0462,mg/L
2019-05-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0517,mg/L
2019-04-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0312,mg/L
2019-03-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0221,mg/L
2019-02-26,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0222,mg/L
2019-01-09,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0385,mg/L
2018-12-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0296,mg/L
2018-11-07,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0256,mg/L
2018-10-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0324,mg/L
2018-09-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0344,mg/L
2018-08-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0356,mg/L
2018-07-18,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0391,mg/L
2018-06-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0427,mg/L
2018-05-16,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0406,mg/L
2018-04-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0372,mg/L
2018-03-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0354,mg/L
2018-02-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0286,mg/L
2018-01-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0268,mg/L
2017-12-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0233,mg/L
2017-11-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0584,mg/L
2017-10-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0264,mg/L
2017-09-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0338,mg/L
2017-08-17,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0991,mg/L
2017-07-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0371,mg/L
2017-06-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.039,mg/L
2017-05-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0376,mg/L
2017-04-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0715,mg/L
2017-03-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.123,mg/L
2017-02-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0714,mg/L
2017-01-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0298,mg/L
2016-12-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0307,mg/L
2016-11-16,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0393,mg/L
2016-10-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0334,mg/L
2016-09-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0386,mg/L
2016-08-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0397,mg/L
2016-07-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0461,mg/L
2016-06-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0378,mg/L
2016-05-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0433,mg/L
2016-04-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0406,mg/L
2016-03-16,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0275,mg/L
2016-02-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0259,mg/L
2016-01-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0309,mg/L
2015-12-09,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.463,mg/L
2015-11-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0264,mg/L
2015-10-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0314,mg/L
2015-09-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0354,mg/L
2015-08-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0412,mg/L
2015-07-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0401,mg/L
2015-06-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0438,mg/L
2015-05-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0613,mg/L
2015-04-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0374,mg/L
2015-03-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0499,mg/L
2015-02-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0403,mg/L
2015-01-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0308,mg/L
